shape of p1 (99, 2)
shape of p2 (99, 2)
         101370 function calls (98468 primitive calls) in 0.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:365(__setitem__)
    35/15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      131    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      944    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      324    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python_performance_optim.py:4(distance_matrix)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:2045(__init_subclass__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 contextlib.py:347(__exit__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7ff06f7e5940}
        5    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
       49    0.000    0.000    0.000    0.000 _parser.py:369(_escape)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
       35    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      362    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      159    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath._load_from_filelike}
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
      395    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       44    0.000    0.000    0.000    0.000 enum.py:686(__call__)
        3    0.000    0.000    0.000    0.000 typing.py:1563(__getitem__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
       97    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 _datasource.py:303(_isurl)
    29/21    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
      480    0.000    0.000    0.000    0.000 typing.py:736(<genexpr>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        8    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
      244    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       49    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
